Company Name,Category / Segment,Specialty,Website,Propensity Score (0-100),Priority Tier,Urgency Label,Primary Recruiter Talking Point,LinkedIn Headcount,Headcount Score (Max 30),Plant Expansions (6M),Expansions Score (Max 25),Exec Turnover (6M),Exec Score (Max 20),FDA Recalls (3Y),Class 1 Recalls,Regulatory Score (Max 15),Domain Fit Score (Max 10)
ZipLine,Nutraceutical,Unknown,,30.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Executive restructuring trigger: Recent C-Suite / VP appointments recorded. Target newly installed leaders as they rebuild their departmental teams.,0,10.0,0,0.0,2,15.0,0,0,0.0,5.0
Ventura Foods,"Contract Manufacturer, Ingredient Supplier","ingredient supplier, contract manufacturer",,24.5,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Ventura Foods is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,6,0,4.5,10.0
Lehmann&Voss&Co. KG,"Supplement Brand, Contract Manufacturer, Ingredient Supplier",Chemicals ingredients,http://www.lehvoss.com,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Lehmann&Voss&Co. KG is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,10.0
Sancilio & Company Inc.,"Supplement Brand, Contract Manufacturer","contract manufacturer, supplement brand",,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Sancilio & Company Inc. is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,10.0
Boost Tech,"Supplement Brand, Contract Manufacturer, Ingredient Supplier, Packaging","ingredient supplier, contract manufacturer, supplement brand",,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Boost Tech is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,10.0
Aurobindo Pharma,"Supplement Brand, Contract Manufacturer, Ingredient Supplier","ingredient supplier, contract manufacturer, supplement brand",,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Aurobindo Pharma is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,10.0
Parkacre,"Supplement Brand, Contract Manufacturer, Packaging","contract manufacturer, supplement brand",,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Parkacre is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,10.0
NXT-USA,"Supplement Brand, Contract Manufacturer, Ingredient Supplier",Branded ingredients,https://nxt-usa.com/,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,NXT-USA is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,10.0
Northern Solvents Private Limited,"Contract Manufacturer, Ingredient Supplier","ingredient supplier, contract manufacturer",,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Northern Solvents Private Limited is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,10.0
Ensure Support Services India Pvt. Ltd,"Contract Manufacturer, Packaging",contract manufacturer,,18.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Ensure Support Services India Pvt. Ltd is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,0,10.0,0,0.0,0,0.0,0,0,0.0,8.0
