company_name,primary_headcount,headcount_source,yoy_headcount_growth_pct,hiring_trajectory,active_job_openings,estimated_annual_revenue,revenue_source,total_funding,propensity_score,tier,urgency_label,primary_talking_point,domain,website,linkedin_url,city,state,country,street_address,phone,founded_year,ownership,ticker,exchange,growjo_current_employees,growjo_last_employees,growjo_yoy_growth_pct,growjo_trajectory,growjo_job_openings,growjo_estimated_revenue,growjo_total_funding,growjo_valuation,growjo_lead_score,owler_revenue,owler_estimated_annual_revenue,owler_total_funding,owler_total_acquisitions,owler_total_competitors,owler_employee_count,owler_estimated_employees,linkedin_employee_count,linkedin_follower_count,linkedin_employee_range,serper_facility_signals,serper_funding_ma_signals,serper_exec_turnover_signals,serper_regulatory_press_hits,fda_total_recalls,fda_class1_recalls,fda_ongoing_recalls,fda_risk_score,score_headcount_growth,score_headcount_source,score_expansions,score_exec_turnover,score_regulatory,score_domain_alignment,scraped_at
Nordic Naturals,420,Growjo,+12.60%,STEADY_EXPANSION,1,$141.8M,Growjo (modeled),Self-Funded / Private,28.1,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Nordic Naturals is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,nordicnaturals.com,https://nordicnaturals.com,http://www.linkedin.com/company/nordic-naturals,Watsonville,CA,United States,,,1995,,,,420,373,12.6,STEADY_EXPANSION,1,141750000,,,,,,,,,,,380,19831,201-500 employees,0,0,0,0,2,0,0,7.0,22.0,growjo_yoy,0.0,0.0,1.1,5.0,2026-08-27 07:30 UTC
Thorne Research,354,Growjo,+20.82%,HYPER_GROWTH,20,$171.6M,Growjo (modeled),$30.3M,35.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Hyper-growth trigger: Headcount expanded by +20.8%. Internal talent acquisition is constrained; pitch fractional or retained search.,thorne.com,https://thorne.com,http://www.linkedin.com/company/thorne-health,New York,NY,United States,,,1984,Private,,,354,293,20.82,HYPER_GROWTH,20,171560000,$30.3M,336815000,,0,,0,0,0,0,,,,,0,0,0,0,0,0,0,0.0,30.0,growjo_yoy,0.0,0.0,0.0,5.0,2026-08-27 07:30 UTC
Garden of Life,659,Growjo,+0.00%,STABLE,1,$206.8M,Growjo (modeled),Self-Funded / Private,22.2,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Garden of Life is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,gardenoflife.com,https://gardenoflife.com,http://www.linkedin.com/company/garden-of-life,Palm Beach Gardens,FL,United States,4200 NorthCorp Parkway,1-561-748-2477,2000,Private,,,659,659,0.0,STABLE,1,206761250,,,,700000000,$500M - 1B,0,0,7,440,250 - 500,456,23678,201-500 employees,0,0,0,0,3,0,0,15.0,15.0,growjo_yoy,0.0,0.0,2.2,5.0,2026-08-27 07:30 UTC
NOW Foods,911,Growjo,+8.07%,STEADY_EXPANSION,1,$344.4M,Growjo (modeled),Self-Funded / Private,29.1,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,NOW Foods is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,nowfoods.com,https://nowfoods.com,http://www.linkedin.com/company/now-foods,Bloomingdale,IL,United States,,,,,,,911,843,8.07,STEADY_EXPANSION,1,344358000,,,,,,,,,,,844,28995,"1,001-5,000 employees",0,0,0,0,4,0,0,14.0,22.0,growjo_yoy,0.0,0.0,2.1,5.0,2026-08-27 07:31 UTC
Jarrow Formulas,N/A,Not Found,Unindexed (Growjo),UNKNOWN,0,N/A,N/A,Self-Funded / Private,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Jarrow Formulas is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,jarrowformulas.com,http://www.jarrowformulas.com,,,,,,,0,Private,,,,,,,,,,,,0,,0,0,0,0,,,,,0,0,0,0,0,0,0,0.0,10.0,none,0.0,0.0,0.0,5.0,2026-08-27 07:31 UTC
Solgar,550,Owler,Unindexed (Growjo),STABLE (Baseline),0,$100M - 500M,Owler (band),Self-Funded / Private,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Solgar is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,solgar.com,http://www.solgar.com,,Leonia,New Jersey,USA,500 Willow Tree Road,1-201-944-2311,1947,Private,,,,,,,,,,,,450000000,$100M - 500M,0,0,11,550,"500 - 1,000",,,,0,0,0,0,0,0,0,0.0,10.0,none,0.0,0.0,0.0,5.0,2026-08-27 07:31 UTC
Pure Encapsulations,81,Growjo,-5.81%,MODERATE_CONTRACTION,0,$21.9M,Growjo (modeled),Self-Funded / Private,21.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Pure Encapsulations is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,pureencapsulations.com,https://pureencapsulations.com,http://www.linkedin.com/company/pure-encapsulations,Sudbury,MA,United States,490 Boston Post Rd,800-753-2277,1991,Private,,,81,86,-5.81,MODERATE_CONTRACTION,,21870000,,,,15400000,$5M - 25M,0,0,14,72,25 - 100,73,21156,"1,001-5,000 employees",0,1,0,0,0,0,0,0.0,12.0,growjo_yoy,4.0,0.0,0.0,5.0,2026-08-27 07:32 UTC
Life Extension,501,LinkedIn,Unindexed (Growjo),STABLE (Baseline),0,$100M - 500M,Owler (band),Self-Funded / Private,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Life Extension is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,lifeextension.com,http://lifeextension.com,https://www.linkedin.com/company/life-extension,Fort Lauderdale,Florida,USA,"3600 W Commercial Blvd,",1-954-766-8144,1981,Private,,,,,,,,,,,,152600000,$100M - 500M,0,0,15,410,250 - 500,501,15245,201-500 employees,0,0,0,0,0,0,0,0.0,15.0,apify_snapshot,0.0,0.0,0.0,5.0,2026-08-27 07:32 UTC
American Health Holdings,N/A,Not Found,Unindexed (Growjo),UNKNOWN,0,N/A,N/A,Self-Funded / Private,15.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,American Health Holdings is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.0,10.0,none,0.0,0.0,0.0,5.0,2026-08-27 07:32 UTC
Natrol,395,Growjo,+1.28%,STABLE,1,$125.9M,Growjo (modeled),Self-Funded / Private,20.0,TIER_3_MONITORING,LOW PROPENSITY — Baseline Monitoring,Natrol is stable in the nutraceutical sector. Maintain periodic BD touchpoints.,natrol.com,https://natrol.com,http://www.linkedin.com/company/natrol-inc-,Los Angeles,CA,United States,21411 Prairie Street,1-800-262-8765,1980,Private,,,395,390,1.28,STABLE,1,125914150,,,,157000000,$100M - 500M,0,0,6,425,250 - 500,,,,0,0,0,0,0,0,0,0.0,15.0,growjo_yoy,0.0,0.0,0.0,5.0,2026-08-27 07:32 UTC
