Company Name,Segment,LinkedIn URL,Website,LinkedIn Headcount,LinkedIn Followers,HQ Location,Key Specialties,Plant Expansions (6M),M&A / Funding Rounds (6M),Exec Appointments (6M),Trade Press Hits (6M),Top Recent Market Event,FDA Recalls (3Y),Class 1 (Critical) Recalls,Class 2 (Moderate) Recalls,Latest FDA Recall Reason,Primary Recruiter Talking Point
Aplantis Natural Ingredients,"Supplement Brand, Contract Manufacturer, Ingredient Supplier",https://www.linkedin.com/company/aplantis-natural-ingredients,https://aplantis-ingredients.de/,19,1010,"Weilheim in Oberbayern, Bayern, DE","Nahrungsergänzungsmittel, Rohstoffe, Heilpflanzen, Pflanzenextrakte",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
NuLiv Science,"Supplement Brand, Ingredient Supplier",https://www.linkedin.com/company/nuliv-science,http://www.nulivscience.com,29,4151,"Brea, California, US","Bio-availability, Absorption, Endurance, Sports Nutrition",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
Shanghai Freemen Americas LLC,Ingredient Supplier,https://www.linkedin.com/company/shanghai-freemen-americas-llc,,Unknown,0,US,ingredient supplier,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
BioSpace,Nutraceutical,https://www.linkedin.com/company/biospaceinc,,159,201603,"West Des Moines, Iowa, US","biotech jobs, pharma jobs, biotech news, pharma news",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
Lehmann&Voss&Co. KG,"Supplement Brand, Contract Manufacturer, Ingredient Supplier",https://de.linkedin.com/company/lehmann-voss,http://www.lehvoss.com,267,0,"Hamburg, , DE",Chemicals ingredients,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
"Compound Solutions, Inc.","Supplement Brand, Contract Manufacturer, Ingredient Supplier",https://www.linkedin.com/company/compoundsolutions,http://www.compoundsolutions.com,30,4259,"Carlsbad, CA, US","Amino Acids, Specialty Ingredients, Sports Nutrition, ingredient modification",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
Radiant Industries Pvt. Ltd.,Contract Manufacturer,https://in.linkedin.com/company/radiant-industries,,18,608,"ahmedabad, gujrat, IN",contract manufacturer,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
Döhler GmbH,Ingredient Supplier,https://de.linkedin.com/company/spedition-d%C3%B6hler-gmbh,,Unknown,0,US,ingredient supplier,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
American Fruits & Flavors,"Contract Manufacturer, Ingredient Supplier",https://www.linkedin.com/company/american-fruit-and-flavors,,186,5851,"San Fernando, California, US","Flavors, Extracts, Fruit and Vegetable Juice and Blends, Food and Beverage Development",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
"Orgenetics, Inc.","Supplement Brand, Contract Manufacturer, Ingredient Supplier",https://www.linkedin.com/company/orgenetics,http://www.orgenetics.com,8,1639,"Brea, California, US","OrMiū™ Family | Organic Whole Mushroom Ingredients, A3™ Aronia Family | Organic Aronia Ingredients, Orai™ Family | Organic New Zealand Ingredients, Raiā™ Family | All Natural New Zealand Ingredients",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
Biotane Naturals,Supplement Brand,https://in.linkedin.com/company/biotane-naturals,,2,39,"Thane, , IN",supplement brand,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
Found Recruitment,Nutraceutical,https://www.linkedin.com/company/foundrecservices,,4,258,US,Unknown,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
NutraScience Labs,"Supplement Brand, Contract Manufacturer, Packaging",https://www.linkedin.com/company/nutrascience-labs,,6,3843,"Farmingdale, New York, US","Vitamin and Supplement Manufacturing, Label Design, Packaging Design, Order Fulfillment & Drop Shipping",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
IMPAG Group,Ingredient Supplier,https://www.linkedin.com/company/impag-ag,https://www.impag.com,168,7388,"Zurich, ZH, CH","Base Chemicals, Specialty Chemicals and Performance Products, Raw Material and Active Ingredients for the Personal Care Industry, Ingredients for the Food & Beverage Industry",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
F.A.M.E. Health Labs,"Supplement Brand, Contract Manufacturer, Packaging",https://www.linkedin.com/company/famehealthlabs,https://www.famehealthlabs.com/,26,717,"Cedartown, Georgia, US","Nutraceuticals Manufacturing, NSF, SQF, cGMP",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
workfreaks.in,Nutraceutical,https://www.linkedin.com/company/workfreaksin,,Unknown,0,US,Unknown,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
CoreWeave,Nutraceutical,https://www.linkedin.com/company/coreweave,,2759,155093,"New York, NY, US","Cloud, Kubernetes, Bare Metal, GPU Compute",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
Red River Commodities,"Contract Manufacturer, Ingredient Supplier, Packaging",https://www.linkedin.com/company/red-river-commodities-inc,,154,2739,US,"ingredient supplier, contract manufacturer",0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
ENGLEWOOD LAB,Contract Manufacturer,https://www.linkedin.com/company/englewood-lab-llc,,138,9525,US,contract manufacturer,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
CheMondis,Ingredient Supplier,https://de.linkedin.com/company/chemondis,https://www.casaoptima.com/,16,0,"Cologne, North Rhine-Westphalia, DE",All ingredients,0,0,0,0,No major press in last 6M,0,0,0,Clean FDA Record,Specialized nutraceutical player. Pitch niche technical roles (Formulation / QC).
